ID,Name,Type1,Type2,Type3,Ability,SAbility,HP,Atk,Def,SpA,SpDef,Spd,Total,Move1,Move2,Move3,Move4,Move5,Move6,Tier,Custom
1,Sunkern,Grass,,,Chlorophyll,Early Bird,30,30,30,30,30,30,180,Ingrain,Endeavor,Sunny Day,Leech Seed,Light Screen,,Very Low,N
2,Magikarp,Water,,,Swift Swim,,20,10,55,15,20,80,200,Splash,,,,,,Very Low,N
3,Pikachu,Electric,,,Static,,35,55,40,50,50,90,320,Discharge,Growl,Quick Attack,Electro Ball,Electroweb,,Very Low,N
4,Psyduck,Water,,,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,Disable,Hypnosis,Confuse Ray,Encore,Psyshock,Scald,Very Low,N
5,Luvdisc,Water,,,Swift Swim,,43,30,55,40,65,97,330,Charm,Draining Kiss,Sweet Kiss,Water Pulse,Ice Beam,,Very Low,N
6,Farfetch'd,Normal,Flying,,Defiant,Inner Focus,52,90,55,58,62,60,377,Leaf Blade,Close Combat,Brave Bird,Steel Wing,U-Turn,,Very Low,N
7,Mawile,Steel,Fairy,,Intimidate,Hyper Cutter,50,85,85,55,55,50,380,Bite,Play Rough,Iron Head,Taunt,Iron Defense,,Very Low,N
8,Onix,Rock,Ground,,Rock Head,Sturdy,35,45,160,30,45,70,385,Stealth Rock,Screech,Iron Tail,Sandstorm,Dig,,Very Low,N
9,Beedrill,Bug,Poison,,Swarm,Sniper,65,90,40,45,80,75,395,Pin Missile,Toxic Spikes,Focus Energy,Endeavor,Fell Stinger,,Very Low,N
10,Parasect,Bug,Grass,,Effect Spore,,60,95,80,60,80,30,405,Spore,Aromatherapy,X-Scissor,Giga Drain,Light Screen,,Very Low,N
11,Alolan Raticate,Dark,Normal,,Hustle,Thick Fat,75,71,70,40,80,77,413,Endeavor,Double-Edge,Focus Energy,Scary Face,Crunch,Facade,Very Low,N
12,Watchog,Normal,,,Illuminate,Keen Eye,60,85,69,60,69,77,420,Confuse Ray,Hypnosis,Crunch,Swords Dance,Baton Pass,,Very Low,N
13,Swoobat,Psychic,Flying,,Unaware,Simple,67,57,55,77,55,114,425,Calm Mind,Psychic,Air Slash,Shadow Ball,Baton Pass,Stored Power,Very Low,N
14,Emolga,Electric,Flying,,Static,,55,75,60,75,60,103,428,Double Team,Encore,Volt Switch,Discharge,Energy Ball,,Very Low,N
